"area_name","n","公表日"
"石狩",12,2020-06-30
"石狩",1,2020-07-01
"石狩",3,2020-07-02
"石狩",0,2020-07-04
"石狩",0,2020-07-05
"石狩",1,2020-07-07
"石狩",3,2020-07-08
"石狩",0,2020-07-09
"石狩",4,2020-07-10
"石狩",0,2020-07-11
"石狩",4,2020-07-12
"石狩",2,2020-07-13
"石狩",7,2020-07-14
"石狩",12,2020-07-15
"石狩",3,2020-07-16
"石狩",2,2020-07-17
"石狩",10,2020-07-18
"石狩",6,2020-07-19
"石狩",2,2020-07-20
"石狩",8,2020-07-21
"石狩",6,2020-07-22
"石狩",3,2020-07-23
"石狩",6,2020-07-24
"石狩",9,2020-07-25
"石狩",5,2020-07-26
"石狩",5,2020-07-27
"石狩",3,2020-07-28
"石狩",3,2020-07-29
"石狩",7,2020-07-30
"石狩",12,2020-07-31
"石狩",13,2020-08-01
"石狩",9,2020-08-02
"石狩",15,2020-08-03
"石狩",8,2020-08-04
"石狩",9,2020-08-05
"石狩",6,2020-08-06
"石狩",6,2020-08-07
"石狩",8,2020-08-08
"石狩",9,2020-08-09
"石狩",10,2020-08-10
"石狩",13,2020-08-11
"石狩",3,2020-08-12
"石狩",5,2020-08-13
"石狩",10,2020-08-14
"石狩",10,2020-08-15
"石狩",8,2020-08-16
"石狩",4,2020-08-17
"石狩",5,2020-08-18
"石狩",6,2020-08-19
"石狩",6,2020-08-20
"石狩",5,2020-08-21
"石狩",7,2020-08-22
"石狩",10,2020-08-23
"石狩",4,2020-08-24
"石狩",4,2020-08-25
"石狩",4,2020-08-26
"石狩",8,2020-08-27
"石狩",9,2020-08-28
"石狩",6,2020-08-29
"石狩",2,2020-08-30
"石狩",5,2020-08-31
"石狩",12,2020-09-01
"石狩",4,2020-09-02
"石狩",5,2020-09-03
"石狩",4,2020-09-04
"石狩",8,2020-09-05
"石狩",4,2020-09-06
"石狩",6,2020-09-07
"石狩",10,2020-09-08
"石狩",3,2020-09-09
"石狩",10,2020-09-10
"石狩",2,2020-09-11
"石狩",6,2020-09-12
"石狩",2,2020-09-13
"石狩",7,2020-09-14
"石狩",6,2020-09-15
"石狩",7,2020-09-16
"石狩",6,2020-09-17
"石狩",12,2020-09-18
"石狩",15,2020-09-19
"石狩",16,2020-09-20
"石狩",12,2020-09-21
"石狩",6,2020-09-22
"石狩",8,2020-09-23
"石狩",10,2020-09-24
"石狩",21,2020-09-25
"石狩",5,2020-09-26
"石狩",15,2020-09-27
"石狩",15,2020-09-28
"石狩",12,2020-09-29
"石狩",14,2020-09-30
"石狩",16,2020-10-01
"石狩",11,2020-10-02
"石狩",15,2020-10-03
"石狩",17,2020-10-04
